id,grad_year,"degree","exp_level","career_field"
789,0,"0","Administrative Support","Experienced (Non-Managerial)"
790,2017,"Bachelor of Science","Sales","Student"
791,0,"","0","Entry Level"
792,2015,"presently attending","Customer Service","Manager"
793,1982,"High School Diploma","Manufacturing and Production","Experienced (Non-Managerial)"
794,1993,"Bachelor of Science","Insurance","Experienced (Non-Managerial)"
795,1978,"B.S","Sales","Executive"
796,0,"0","Transportation and Distribution","Experienced (Non-Managerial)"
797,0,"0","0","0"
798,0,"0","Banking and Financial Services","Experienced (Non-Managerial)"
799,0,"","Sales","Experienced (Non-Managerial)"
800,1975,"High School Diploma","Manufacturing and Production","Entry Level"
801,2015,"Associate of Arts","Psychology","Student"
802,2004,"Bachelor of Science","Insurance","Experienced (Non-Managerial)"
803,0,"0","Construction","Experienced (Non-Managerial)"
804,1992,"High School Diploma","Manufacturing and Production","Experienced (Non-Managerial)"
805,2004,"Associate of Science","Retail","Manager"
806,0,"","Childcare","Student"
807,0,"Select One","Engineering","Experienced (Non-Managerial)"
808,0,"0","Healthcare","Experienced (Non-Managerial)"
809,2010,"Diploma ","Transportation and Distribution","Experienced (Non-Managerial)"
810,2009,"Associate of Arts","Administrative Support","Entry Level"
811,1997,"Associate of Arts","Food and Beverage","Experienced (Non-Managerial)"
812,1979,"High School Diploma","0","Experienced (Non-Managerial)"
813,0,"0","0","Experienced (Non-Managerial)"
814,1993,"GED","Trades","Manager"
815,2013,"High School Diploma","Sales","Experienced (Non-Managerial)"
816,0,"0","Healthcare","Manager"
817,2016,"Bachelor of Science","Education and Training","Student"
818,0,"High School Diploma","Manufacturing and Production","Experienced (Non-Managerial)"
819,2011,"","Sales","Experienced (Non-Managerial)"
820,2004,"High School Diploma","0","Student"
821,1995,"BBA","Business","Experienced (Non-Managerial)"
822,2011,"High School Diploma","Customer Service","Student"
823,2013,"High School Diploma","Veterinary","0"
824,2014,"Cerifcation ","Administrative Support","Experienced (Non-Managerial)"
825,2012,"instuctor of cosmetolgy","Beauty and Spa","Experienced (Non-Managerial)"
826,1998,"A-Levels","0","0"
827,0,"0","0","Experienced (Non-Managerial)"
828,2010,"Associate of Arts","Childcare","Experienced (Non-Managerial)"
829,0,"Bachelor of Arts","Administrative Support","Entry Level"
830,2000,"GED","Management","Experienced (Non-Managerial)"
831,2007,"Bachelor of Arts","Marketing, Advertising and PR","Experienced (Non-Managerial)"
832,2013,"Master of Science","Business","Executive"
833,0,"BS","Healthcare","Experienced (Non-Managerial)"
834,0,"B.A","Community and Public Service","Manager"
835,0,"","Humanities and Liberal Arts","Student"
836,1989,"High School Diploma","Sales","Experienced (Non-Managerial)"
837,2001,"","Retail","Experienced (Non-Managerial)"
838,1992,"High School Diploma","Transportation and Distribution","Entry Level"
839,0,"0","Food and Beverage","Experienced (Non-Managerial)"
840,2008,"Associate of Applied Science","Administrative Support","Experienced (Non-Managerial)"
841,2004,"Certificate : Classroom Assistant Certificate in Classroom Assistant stage 2 1997 University of Northumbria - Newcastle upon Tyne, Tyne & Wear, United Kingdom Certificate: Classroom Assistant Certificate in Classroom Assistant Stage 1 ","Education and Training","Experienced (Non-Managerial)"
842,0,"","0","Experienced (Non-Managerial)"
843,2013,"High School Diploma","0","0"
844,2008,"Certification","Nursing","Experienced (Non-Managerial)"
845,2008,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
846,0,"0","Retail","Student"
847,2010,"Certification","Healthcare","Student"
848,0,"Issuing Institution        Location        Qualification        Course of Study Abraham Lincoln High Council          High School         General High School School          Bluffs, IA          Diploma          Curriculum Took classes in business, bookkee","0","Experienced (Non-Managerial)"
849,1968,"High School Diploma","Real Estate","Experienced (Non-Managerial)"
850,0,"","Food and Beverage","Manager"
851,1996,"","0","Experienced (Non-Managerial)"
852,2008,"Pharmacy license","Customer Service","Entry Level"
853,2010,"High School Diploma","Education and Training","Student"
854,0,"0","0","Experienced (Non-Managerial)"
855,2010,"General Equivalency Diploma","Transportation and Distribution","Experienced (Non-Managerial)"
856,0,"0","Community and Public Service","Experienced (Non-Managerial)"
857,2006,"High School Diploma","0","0"
858,1995,"High School Diploma","Food and Beverage","Experienced (Non-Managerial)"
859,0,"0","0","Executive"
860,2012,"High School Diploma","Retail","0"
861,2002,"Bachelor of Arts","Administrative Support","Experienced (Non-Managerial)"
862,0,"High School Diploma","Human Resources","Student"
863,2013,"High School Diploma","Administrative Support","Entry Level"
864,0,"0","Administrative Support","Experienced (Non-Managerial)"
865,2012,"","Military","Experienced (Non-Managerial)"
866,2015,"MBA","Computers and Technology","Manager"
867,0,"Bachelor Degree","0","0"
868,2008,"High School Diploma","Childcare","Experienced (Non-Managerial)"
869,1982,"Associate of Science","Management","Experienced (Non-Managerial)"
870,1995,"","Art, Fashion and Design","Experienced (Non-Managerial)"
871,2011,"High School Diploma","Law Enforcement and Security","Student"
872,0,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
873,2014,"","Customer Service","Experienced (Non-Managerial)"
874,2011,"Associate of Applied Science","0","0"
875,2011,"Certification","Healthcare","Entry Level"
876,0,"","Manufacturing and Production","Experienced (Non-Managerial)"
877,0,"","Engineering","Experienced (Non-Managerial)"
878,2009,"Certificate For Early Childhood Education ","Retail","Entry Level"
879,2013,"High School Diploma","Healthcare","Experienced (Non-Managerial)"
880,0,"BENG (HONS) DEGREE","Manufacturing and Production","Executive"
881,1991,"Bachelor of Arts","Insurance","Manager"
882,1992,"GED","Real Estate","Experienced (Non-Managerial)"
883,10,"","Food and Beverage","Student"
884,2010,"GED","Customer Service","Experienced (Non-Managerial)"
885,0,"0","Science","Student"
886,0,"GED","Manufacturing and Production","Experienced (Non-Managerial)"
887,0,"Certified Library Page","Retail","Experienced (Non-Managerial)"
888,1998,"High School Diploma","Healthcare","Experienced (Non-Managerial)"
889,1988,"High School Diploma","Law Enforcement and Security","Experienced (Non-Managerial)"
890,2013,"Associate of Arts","Banking and Financial Services","Executive"
891,3,"Associate","Government","Experienced (Non-Managerial)"
892,0,"","Food and Beverage","Manager"
893,1990,"Associate of Arts","Nursing","Experienced (Non-Managerial)"
894,0,"","Customer Service","Experienced (Non-Managerial)"
895,0,"Regents High School Diploma","Accounting and Finance","Manager"
896,1993,"Master of Public Health Degree","Healthcare","Executive"
897,2009,"City & Guilds","Trades","Experienced (Non-Managerial)"
898,2003,"Bachelor of Arts","Marketing, Advertising and PR","Manager"
899,0,"0","Business","Manager"
900,0,"0","Business","Student"
901,2006,"Diploma","Management","Experienced (Non-Managerial)"
902,0,"","Healthcare","Experienced (Non-Managerial)"
903,0,"0","Trades","Entry Level"
904,1983,"Bachelor of Science Degree","Legal","Manager"
905,0,"0","Veterinary","Experienced (Non-Managerial)"
906,0,"0","0","0"
907,0,"0","0","Experienced (Non-Managerial)"
908,1980,"RETS Electronics | State:PA   Industrial Electronics Program","Construction","Experienced (Non-Managerial)"
909,1997,"Technical certificate","Healthcare","Experienced (Non-Managerial)"
910,1980,"Bachelor of Science","Nursing","Experienced (Non-Managerial)"
911,0,"0","Beauty and Spa","Student"
912,2014,"","Community and Public Service","Experienced (Non-Managerial)"
913,2011,"","Retail","Entry Level"
914,0,"Associate of Arts","Sales","Experienced (Non-Managerial)"
915,12,"High School Diploma","Government","Experienced (Non-Managerial)"
916,2002,"GED","Food and Beverage","Entry Level"
917,0,"","Trades","Experienced (Non-Managerial)"
918,1989,"Certificate","Food and Beverage","Experienced (Non-Managerial)"
919,2005,"Bachelor of Arts","Business","Manager"
920,2009,"","Healthcare","Experienced (Non-Managerial)"
921,2012,"Certified/Diploma","Administrative Support","Experienced (Non-Managerial)"
922,1984,"","Customer Service","Experienced (Non-Managerial)"
923,0,"0","Customer Service","Experienced (Non-Managerial)"
924,0,"Diploma","Sales","Manager"
925,1986,"Associate of Arts","Nursing","Experienced (Non-Managerial)"
926,1999,"High School Diploma","Management","Manager"
927,1991,"High School Diploma","Management","Manager"
928,1974,"High School Diploma","Installation and Maintenance","Experienced (Non-Managerial)"
929,1993,"High School Diploma","Management","Experienced (Non-Managerial)"
930,1982,"BSN","Nursing","Experienced (Non-Managerial)"
931,0,"Associates Degree","0","0"
932,1999,"","Installation and Maintenance","Experienced (Non-Managerial)"
933,2007,"Associate of Science","Customer Service","Experienced (Non-Managerial)"
934,0,"Bachelors","Food and Beverage","Student"
935,2008,"","Customer Service","Experienced (Non-Managerial)"
936,0,"0","Community and Public Service","Entry Level"
937,1971,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
938,1982,"Master of Arts","Performing Arts","Student"
939,2006,"High School Diploma","Trades","Experienced (Non-Managerial)"
940,0,"","Food and Beverage","Experienced (Non-Managerial)"
941,2000,"Massachusetts Real Estate Pre-Licensing Sales Course","Real Estate","Manager"
942,2012,"High School Diploma","Science","Student"
943,1993,"Associate of Arts","Healthcare","Manager"
944,2006,"BSBA","Insurance","Experienced (Non-Managerial)"
945,0,"","Real Estate","Experienced (Non-Managerial)"
946,1998,"","Healthcare","Manager"
947,1994,"High School Diploma","Administrative Support","Experienced (Non-Managerial)"
948,2012,"High School Diploma","Retail","Student"
949,2015,"Associate of Science","Healthcare","Student"
950,2002,"High School Diploma","Military","Student"
951,0,"","Nursing","Experienced (Non-Managerial)"
952,2012,"","Business","Manager"
953,1980,"","Sales","Experienced (Non-Managerial)"
954,2013,"Bachelor of Science","Green Jobs","Student"
955,2000,"Diploma","Nursing","Experienced (Non-Managerial)"
956,2012,"High School Diploma","Business","Entry Level"
957,0,"","Nursing","Entry Level"
958,0,"High School Diploma","Education and Training","Manager"
959,0,"0","0","Experienced (Non-Managerial)"
960,1,"Associate of Science","0","0"
961,1976,"License Vocational Nurse","Healthcare","Executive"
962,0,"High School Diploma","Retail","Entry Level"
963,2009,"6 credits to finish","Customer Service","Entry Level"
964,2000,"GED","Food and Beverage","Experienced (Non-Managerial)"
965,0,"0","Engineering","Student"
966,2006,"High School Diploma","Food and Beverage","Experienced (Non-Managerial)"
967,0,"0","0","0"
968,0,"","Food and Beverage","Manager"
969,1995,"Associate of Arts","Retail","Experienced (Non-Managerial)"
970,0,"diploma","0","0"
971,2006,"Level 1 Diploma","Personal Services","Entry Level"
972,0,"","Law Enforcement and Security","Experienced (Non-Managerial)"
973,2016,"High School Diploma","Pharmacy","Student"
974,0,"Associates Science Degree","Computers and Technology","Executive"
975,0,"NYO-(Ordinary) Level and A-(advanced) Level Graduate, GED Diploma, Nortel (Telephone System) Certified, Avaya (Voicemail System) Certified","Telecommunications and Wireless","Experienced (Non-Managerial)"
976,1977,"High School Diploma","Law Enforcement and Security","Experienced (Non-Managerial)"
977,2007,"Journalism","Education and Training","Experienced (Non-Managerial)"
978,0,"Associate of Arts","Social Sciences","Experienced (Non-Managerial)"
979,2006,"Associate of Arts","Accounting and Finance","Executive"
980,2013,"M. Sc. (Eng.) ","Engineering","Entry Level"
981,0,"0","Construction","Experienced (Non-Managerial)"
982,0,"Certification","Community and Public Service","Executive"
983,1973,"Bachelor of Arts","Real Estate","Manager"
984,0,"","0","0"
985,2000,"High School Diploma","Sales","Entry Level"
986,2009,"A.A","Education and Training","Student"
987,1978,"Bachelor of Science","Food and Beverage","Manager"
988,2017,"Bachelor of Science","Travel and Hospitality","Student"
989,2011,"High School Diploma","Business","Student"
990,0,"","Trades","Experienced (Non-Managerial)"
991,0,"0","Nursing","Student"
992,1995,"Baccalaureate Exam","Education and Training","Experienced (Non-Managerial)"
993,1977,"High School Diploma","Transportation and Distribution","Manager"
994,0,"","Engineering","Experienced (Non-Managerial)"
995,0,"","Banking and Financial Services","Experienced (Non-Managerial)"
996,0,"0","Healthcare","Experienced (Non-Managerial)"
997,1990,"Proficiency Diploma","Childcare","Entry Level"
998,0,"Associate of Science","0","Entry Level"
999,2017,"Bachelor of Science","Engineering","Student"
1000,0,"0","0","Experienced (Non-Managerial)"
1001,2005,"Graduate Transfer Program","Retail","Manager"
1002,2007,"","Retail","Experienced (Non-Managerial)"
1003,0,"","Food and Beverage","Manager"
1004,1991,"Master of Arts","Marketing, Advertising and PR","Manager"
1005,2013,"","Administrative Support","Experienced (Non-Managerial)"
1006,0,"","Construction","Experienced (Non-Managerial)"
1007,0,"Bachelor of Arts","Healthcare","Student"
1008,2012,"High School Diploma","Healthcare","Student"
1009,0,"0","Manufacturing and Production","Experienced (Non-Managerial)"
1010,0,"","Nursing","Student"
1011,2000,"Bachelor of Arts","Sales","Experienced (Non-Managerial)"
1012,2006,"High School Diploma","Healthcare","Experienced (Non-Managerial)"
1013,0,"Bachelor of Arts","Military","Manager"
1014,1999,"Associate of Arts","Food and Beverage","Experienced (Non-Managerial)"
1015,2001,"High School Diploma","Healthcare","Experienced (Non-Managerial)"
1016,1998,"Master of Science","Healthcare","Experienced (Non-Managerial)"
1017,0,"0","Veterinary","Student"
1018,1998,"Bachelor of Science Nursing","Nursing","Experienced (Non-Managerial)"
1019,1989,"High School Diploma","Transportation and Distribution","Experienced (Non-Managerial)"
1020,2004,"Bachelors Degree","Social Sciences","Experienced (Non-Managerial)"
1021,2015,"Associate of Science","Administrative Support","Experienced (Non-Managerial)"
1022,0,"0","0","Experienced (Non-Managerial)"
1023,1999,"High School Diploma","Telecommunications and Wireless","Manager"
1024,1999,"","Childcare","Experienced (Non-Managerial)"
1025,2011,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
1026,1988,"","Healthcare","Experienced (Non-Managerial)"
1027,2012,"Associate of Science","Nursing","Experienced (Non-Managerial)"
1028,1996,"HND","Customer Service","Manager"
1029,2011,"Master of Science","Education and Training","Experienced (Non-Managerial)"
1030,2012,"Associate of Science","Healthcare","Entry Level"
1031,0,"0","0","Experienced (Non-Managerial)"
1032,2013,"","Installation and Maintenance","Entry Level"
1033,1983,"High School Diploma","Childcare","Experienced (Non-Managerial)"
1034,1996,"High School Diploma","Transportation and Distribution","Experienced (Non-Managerial)"
1035,0,"0","0","Student"
1036,1971,"GED","Management","Experienced (Non-Managerial)"
1037,2013,"High School Diploma","Computers and Technology","Experienced (Non-Managerial)"
1038,2014,"Bachelor of Fine Arts","Performing Arts","Student"
1039,0,"Bachelor of Arts","0","Experienced (Non-Managerial)"
1040,2008,"Bachelor of Arts","Healthcare","Entry Level"
1041,2003,"High School Diploma","Transportation and Distribution","Experienced (Non-Managerial)"
1042,1992,"High school Diploma","Retail","Entry Level"
1043,2013,"Associate of Arts","Law Enforcement and Security","Experienced (Non-Managerial)"
1044,2016,"High School Diploma","Education and Training","Experienced (Non-Managerial)"
1045,1977,"High School Diploma","Pharmacy","Experienced (Non-Managerial)"
1046,0,"High School Diploma","Food and Beverage","Manager"
1047,2009,"High School Diploma","Administrative Support","Experienced (Non-Managerial)"
1048,0,"High School Diploma","Customer Service","Entry Level"
1049,0,"Beloit College     192 Credit Hours Beloit, WI Detroit Metro Criminal Justice Institute  Security Certificates   Detroit, MI S2 Defense Systems    Certificate of Completion Colorado Springs, CO","Business","Experienced (Non-Managerial)"
1050,2016,"","0","Student"
1051,0,"0","Art, Fashion and Design","Manager"
1052,2013,"Bachelors","Art, Fashion and Design","Experienced (Non-Managerial)"
1053,1994,"Associate of Applied Science","Nursing","Experienced (Non-Managerial)"
1054,0,"","Sales","Manager"
1055,2007,"Master of Science","Healthcare","Entry Level"
1056,0,"0","Customer Service","Manager"
1057,1999,"","Customer Service","Entry Level"
1058,2017,"","Human Resources","Student"
1059,2013,"High School Diploma","Art, Fashion and Design","Experienced (Non-Managerial)"
1060,0,"Some Credits","Retail","Manager"
1061,2009,"High School Diploma","Business","Experienced (Non-Managerial)"
1062,0,"","Accounting and Finance","Experienced (Non-Managerial)"
1063,1984,"","Construction","Experienced (Non-Managerial)"
1064,2013,"General Academic Studies Degree","Accounting and Finance","Entry Level"
1065,1996,"Bachelor of Science","Education and Training","Experienced (Non-Managerial)"
1066,2004,"Associate of Science","Manufacturing and Production","Experienced (Non-Managerial)"
1067,2012,"","Beauty and Spa","Experienced (Non-Managerial)"
1068,2007,"High School Diploma","Customer Service","Entry Level"
1069,0,"High School Diploma","Military","Experienced (Non-Managerial)"
1070,2007,"Associates of Science","Transportation and Distribution","Experienced (Non-Managerial)"
1071,2013,"High School Diploma","Textile and Apparel","Student"
1072,2013,"Graduate Diploma","Healthcare","Entry Level"
1073,2010,"Associate of Arts","Sales","Experienced (Non-Managerial)"
1074,1998,"GCSE","Community and Public Service","Entry Level"
1075,1995,"Master of Science","Marketing, Advertising and PR","Executive"
1076,0,"0","0","Student"
1077,2013,"Bachelor of Arts","Human Resources","Entry Level"
1078,1999,"","Customer Service","Experienced (Non-Managerial)"
1079,0,"","Healthcare","Experienced (Non-Managerial)"
1080,2004,"Select One","Trades","Experienced (Non-Managerial)"
1081,1987,"","Banking and Financial Services","Experienced (Non-Managerial)"
1082,0,"","Construction","Experienced (Non-Managerial)"
1083,1977,"High School Diploma","Trades","Experienced (Non-Managerial)"
1084,0,"0","0","0"
1085,2003,"High School Diploma","Transportation and Distribution","Experienced (Non-Managerial)"
1086,1989,"Bachelor","Accounting and Finance","Experienced (Non-Managerial)"
1087,1981,"High School Diploma","Installation and Maintenance","Experienced (Non-Managerial)"
1088,1986,"Associate of Science","Healthcare","Experienced (Non-Managerial)"
1089,1989,"High School Diploma","Food and Beverage","Executive"
1090,1987,"GED","Trades","Experienced (Non-Managerial)"
1091,0,"","Trades","Experienced (Non-Managerial)"
1092,1994,"High School Diploma","Transportation and Distribution","Experienced (Non-Managerial)"
1093,2014,"","Engineering","Entry Level"
1094,1987,"High School Diploma","Trades","Experienced (Non-Managerial)"
1095,2004,"Associate of Science","Food and Beverage","Student"
1096,0,"0","Administrative Support","Executive"
1097,0,"Bachelor of Hotel","Travel and Hospitality","Manager"
1098,1991,"Bachelor of Science","Education and Training","Experienced (Non-Managerial)"
1099,1974,"High School Diploma","0","0"
1100,1999,"","0","0"
1101,2017,"","0","Entry Level"
1102,1999,"High School Diploma","Retail","Manager"
1103,1969,"High School Diploma","0","0"
1104,0,"Attended four years ","Banking and Financial Services","Manager"
1105,2010,"High School Diploma","Installation and Maintenance","Experienced (Non-Managerial)"
1106,2011,"High School Diploma","Human Resources","Experienced (Non-Managerial)"
1107,2012,"Diploma of Business","Customer Service","Experienced (Non-Managerial)"
1108,2001,"High School Diploma","Trades","Experienced (Non-Managerial)"
1109,2013,"High School Diploma","Installation and Maintenance","Entry Level"
1110,2001,"GED","Education and Training","Manager"
1111,0,"High School Diploma","Administrative Support","Experienced (Non-Managerial)"
1112,0,"0","Installation and Maintenance","Entry Level"
1113,1989,"M.Ed.","Education and Training","Experienced (Non-Managerial)"
1114,2004,"0","Administrative Support","Experienced (Non-Managerial)"
1115,0,"BBA","Marketing, Advertising and PR","Experienced (Non-Managerial)"
1116,1982,"Associate of Applied Science","Food and Beverage","Experienced (Non-Managerial)"
1117,0,"0","Retail","Experienced (Non-Managerial)"
1118,0,"Hotel Management Basic Course from Management Training School, Food & Beverage Service, Nepal  Diploma (management), HMG Board, Nepal","Food and Beverage","Manager"
1119,0,"0","0","Experienced (Non-Managerial)"
1120,1995,"High School Diploma","Retail","Experienced (Non-Managerial)"
1121,1999,"Certification","Transportation and Distribution","Manager"
1122,0,"0","Nursing","Entry Level"
1123,2008,"BA","Marketing, Advertising and PR","Experienced (Non-Managerial)"
1124,2014,"Associate of Science","Government","Student"
1125,0,"Select One","Law Enforcement and Security","Experienced (Non-Managerial)"
1126,0,"1 Year - 15 Credit Hours","0","0"
1127,2011,"High School Diploma","Healthcare","Entry Level"
1128,5,"Bachelor's degree","Food and Beverage","Experienced (Non-Managerial)"
1129,2017,"Bachelor of Science","Administrative Support","Experienced (Non-Managerial)"
1130,2015,"Associate of Science","Veterinary","Entry Level"
1131,2013,"Bachelor of Arts","Entertainment and Media","Entry Level"
1132,0,"Currently in school","Banking and Financial Services","Manager"
1133,2014,"Bachelor of Science","Education and Training","Student"
1134,2014,"Diploma","Beauty and Spa","Student"
1135,1994,"High School Diploma","Healthcare","Entry Level"
1136,2012,"Associate of Science","Administrative Support","Experienced (Non-Managerial)"
1137,1991,"Associate of Arts","Customer Service","Experienced (Non-Managerial)"
1138,2000,"Diploma","Trades","Experienced (Non-Managerial)"
1139,2003,"GED","Government","Entry Level"
1140,0,"EMT- Basic Certification","Healthcare","Experienced (Non-Managerial)"
1141,0,"0","Customer Service","Entry Level"
1142,2012,"High School Diploma","Retail","Student"
1143,1987,"Bachelor of Arts","Healthcare","Experienced (Non-Managerial)"
1144,2012,"Associate of Science","Law Enforcement and Security","Entry Level"
1145,0,"Bachelor of Science","Education and Training","Student"
1146,0,"0","0","Experienced (Non-Managerial)"
1147,1988,"","Customer Service","Manager"
1148,2002,"","Customer Service","Experienced (Non-Managerial)"
1149,2006,"Diploma","Nursing","Experienced (Non-Managerial)"
1150,0,"","Telecommunications and Wireless","Manager"
1151,2013,"High School Diploma","Telecommunications and Wireless","Student"
1152,0,"","Nursing","Entry Level"
1153,2013,"","Food and Beverage","Student"
1154,0,"0","Administrative Support","Experienced (Non-Managerial)"
1155,2013,"Bachelor Degree","Computers and Technology","Experienced (Non-Managerial)"
1156,2006,"ADN","Nursing","Experienced (Non-Managerial)"
1157,2010,"High School Diploma","Installation and Maintenance","Entry Level"
1158,2013,"","Construction","Experienced (Non-Managerial)"
1159,2012,"High School Diploma","Business","Experienced (Non-Managerial)"
1160,2013,"Bachelor of Arts","Entertainment and Media","Entry Level"
1161,2001,"Real Estate License","Administrative Support","Experienced (Non-Managerial)"
1162,0,"High School Diploma","Transportation and Distribution","Experienced (Non-Managerial)"
1163,2016,"Bachelor of Science","Construction","Student"
1164,2003,"High School Diploma","Transportation and Distribution","0"
1165,0,"","Administrative Support","Experienced (Non-Managerial)"
1166,2014,"High School Diploma","Management","Entry Level"
1167,2010,"High School Diploma","Childcare","Student"
1168,2012,"GCSE","0","Student"
1169,2002,"High School Diploma","Fitness and Recreation","Experienced (Non-Managerial)"
1170,2005,"","Real Estate","Manager"
1171,2004,"Bachelor of Science","Accounting and Finance","Experienced (Non-Managerial)"
1172,1982,"High School Diploma","Construction","Experienced (Non-Managerial)"
1173,2013,"","Entertainment and Media","Student"
1174,1992,"GCSE","Education and Training","Entry Level"
1175,2015,"Master of Science","Accounting and Finance","Student"
1176,2010,"Associate of Arts","Customer Service","Entry Level"
1177,2012,"Graduate","Trades","Entry Level"
1178,0,"Masters","0","Experienced (Non-Managerial)"
1179,0,"Associate of Science","Manufacturing and Production","Experienced (Non-Managerial)"
1180,2014,"Associate of Science","Administrative Support","Entry Level"
1181,0,"0","0","Executive"
1182,2010,"Cisco Certified Network Associates Program","Computers and Technology","Entry Level"
1183,0,"0","0","Manager"
1184,2013,"High School Diploma","Childcare","Student"
1185,2009,"High School Diploma","0","Student"
1186,2013,"Bachelor of Science","Nursing","Student"
1187,0,"","Management","Manager"
1188,2001,"High School Diploma","Real Estate","Experienced (Non-Managerial)"
1189,1994,"High School Diploma","0","0"
1190,2005,"High School Diploma","Retail","Manager"
1191,11,"High School Diploma","Real Estate","Manager"
1192,1982,"High School Diploma","Sales","Experienced (Non-Managerial)"
1193,1984,"Diploma of Mechanical LFE","Engineering","Experienced (Non-Managerial)"
1194,1987,"Bachelor of Science","Education and Training","Experienced (Non-Managerial)"
1195,0,"A.D.N","0","Experienced (Non-Managerial)"
1196,0,"BBA","0","0"
1197,2012,"BBA","Sales","Experienced (Non-Managerial)"
1198,1998,"college prep","Banking and Financial Services","Experienced (Non-Managerial)"
1199,0,"","Management","Experienced (Non-Managerial)"
1200,0,"0","Construction","Experienced (Non-Managerial)"
1201,2000,"","Customer Service","Entry Level"
1202,2013,"","Healthcare","Experienced (Non-Managerial)"
1203,2015,"","Food and Beverage","Manager"
1204,2012,"GCSE","Beauty and Spa","Entry Level"
1205,2011,"High School Diploma","Retail","Manager"
1206,2009,"","Real Estate","Entry Level"
1207,2015,"High School Diploma","0","Student"
1208,0,"","Education and Training","Experienced (Non-Managerial)"
1209,0,"0","Nursing","Experienced (Non-Managerial)"
1210,2004,"A-Levels","Management","Experienced (Non-Managerial)"
1211,2013,"High School Diploma","0","Student"
1212,0,"Some College Hours","0","0"
1213,0,"","Food and Beverage","Experienced (Non-Managerial)"
1214,2013,"MSc","Management","Student"
1215,0,"Bachelor of Arts","Management","Manager"
1216,2013,"","Accounting and Finance","Student"
1217,1989,"Bachelor of Arts","Sales","Manager"
1218,1992,"Associate of Science","Accounting and Finance","Experienced (Non-Managerial)"
1219,0,"Bachelors","Law Enforcement and Security","Entry Level"
1220,0,"General Academic Studies Degree","Community and Public Service","Experienced (Non-Managerial)"
1221,2009,"Bachelor of Science","Banking and Financial Services","Entry Level"
1222,2010,"High School Diploma","0","Entry Level"
1223,1979,"Bachelor of Science","Nursing","Experienced (Non-Managerial)"
1224,1986,"","Pharmacy","Experienced (Non-Managerial)"
1225,0,"Bachelor of Science","Insurance","Entry Level"
1226,2004,"M.Ed.","Accounting and Finance","Experienced (Non-Managerial)"
1227,1966,"","Accounting and Finance","Experienced (Non-Managerial)"
1228,1999,"Bachelor of Arts","Retail","Experienced (Non-Managerial)"
1229,0,"GED","Trades","Experienced (Non-Managerial)"
1230,2003,"High School Diploma","Sales","Experienced (Non-Managerial)"
1231,2006,"High School Diploma","Healthcare","Entry Level"
1232,0,"","Administrative Support","Experienced (Non-Managerial)"
1233,2012,"High School Diploma","Nursing","Student"
1234,2012,"Associates of Business","Administrative Support","Entry Level"
1235,2005,"","Education and Training","Student"
1236,0,"","Art, Fashion and Design","Experienced (Non-Managerial)"
1237,12,"","Retail","Student"
1238,2010,"Level 3","Education and Training","Student"
1239,2015,"","Customer Service","Student"
1240,0,"0","Healthcare","Entry Level"
1241,0,"0","Real Estate","Manager"
1242,2011,"Master of Arts","Performing Arts","Experienced (Non-Managerial)"
1243,2005,"High School Diploma","Manufacturing and Production","Entry Level"
1244,1998,"Licensed Practical nurse","Nursing","Experienced (Non-Managerial)"
1245,0,"0","0","Experienced (Non-Managerial)"
1246,2015,"None yet","Law Enforcement and Security","Entry Level"
1247,0,"","Business","Entry Level"
1248,2008,"Master of Arts","Marketing, Advertising and PR","Experienced (Non-Managerial)"
1249,1989,"Associate of Arts","Construction","Experienced (Non-Managerial)"
1250,0,"0","0","Experienced (Non-Managerial)"
1251,0,"High School Diploma","Food and Beverage","Experienced (Non-Managerial)"
1252,1977,"GED","Retail","Executive"
1253,0,"0","0","Experienced (Non-Managerial)"
1254,1993,"High School Diploma","Dental","Experienced (Non-Managerial)"
1255,2012,"","Travel and Hospitality","Student"
1256,2013,"High School Diploma","0","Student"
1257,2014,"Master of Science","Healthcare","Experienced (Non-Managerial)"
1258,0,"Foundation In Business","Business","Student"
1259,2010,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
1260,0,"0","Healthcare","Experienced (Non-Managerial)"
1261,1996,"General Academic Studies Degree","Healthcare","Experienced (Non-Managerial)"
1262,0,"0","Food and Beverage","Experienced (Non-Managerial)"
1263,0,"Associate of Applied Science","Management","Manager"
1264,2014,"","Beauty and Spa","Student"
1265,0,"Currently working on Degree Have: Security + Certification          2009 Rio Salado College      Currently Attending Sales Merit Level 2      April  2007 Sales Merit Level 1      October  2006 Hyland Bay - New Home Sales ","Real Estate","Experienced (Non-Managerial)"
1266,2014,"Associate of Arts","Art, Fashion and Design","Student"
1267,0,"Select One","Installation and Maintenance","Experienced (Non-Managerial)"
1268,2001,"High School Diploma","Trades","Experienced (Non-Managerial)"
1269,0,"Currently enrolled","Retail","Student"
1270,2010,"","Healthcare","Experienced (Non-Managerial)"
1271,2017,"Associate of Science","Administrative Support","Experienced (Non-Managerial)"
1272,2014,"","0","Student"
1273,2013,"Bachelor of Science","Childcare","Entry Level"
1274,1999,"High School Diploma","Legal","Experienced (Non-Managerial)"
